ICV5,[C@H](CC1=CC=CC=C1)(C(N[C@@H](C[C@H]2C(=O)NCC2)C=O)=O)NC(/C=C/C3=CC(Br)=CC=C3)=O
ICV128,C(CC1=CC=CC=C1)(NC([C@@H](NC([C@@H](NC([C@@H](NC(OCC2=CC=CC=C2)=O)C)=O)C(C)C)=O)CC(C)C)=O)C(C(F)(F)F)=O
ICV324,[C@@H](C)(C=1C2=C(C=CC1)C=CC=C2)N3CCC(C(NCC4=CC=CC=C4)=O)CC3
ICV159,O=C(O)C1=CC=C(C=C1)C=C2C(=O)N(N=C2C=3C=CC=CC3)C=4C=CC=C(C4)N(=O)=O
ICV680,N(CC1=CC=C(C=C1)C2=CC=CC=N2)(C[C@@H]([C@H](CC3=CC=CC=C3)NC([C@@H](NC(OC)=O)[C@](C)(C)C)=O)O)NC([C@@H](NC(OC)=O)[C@](C)(C)C)=O
ICV233,O=C(N(C(C=C1)=CC=C1NC)CC2=CSC=C2)CN3C4=CC=CC=C4N=N3
ICV407,O=C(NCC1=CC=C(C=C1)N2CCN(C)CC2)C=3ON=CC3
ICV293,C(=C/C(CC(/C=C/C1=CC(OC)=C(O)C=C1)=O)=O)\C2=CC(OC)=C(O)C=C2
ICV58,[C@H](CC1=CC=CC=C1)(C(N[C@@H](CC2=CC=CC=C2)/C=C/C(OCC)=O)=O)NC(/C=C/C3=C(OC)C=C(OC)C=C3)=O
ICV756,O=C1[C@H](C[C@H](NC([C@H]2N(C(COC3=CC=C(Br)C=C3Cl)=O)C[C@@]4([H])[C@]2([H])C4(C)C)=O)C([H])=O)CCN1
ICV241,O=C(C1=C(N2)C=CC(I)=C1)C2=O
ICV727,CC(C)C[C@@H](C(N[C@@H](CC(C)C)C(N[C@@H](C[C@@H]1CCNC1=O)C(C(NC2CC2)=O)=O)=O)=O)NC(OCC3=CC=CC=C3)=O
ICV169,O=C(ON1N=NC=2C=CC=CC21)C3=CC=C(C=C3)N(CC)CC
ICV119,O=C(C1=NC2=CC=CC=C2S1)[C@H](C[C@H]3C(NCC3)=O)NC([C@H](CC(C)C)NC(C4=C(CC)C(C=C(OC)C=C5)=C5N4)=O)=O
ICV192,O=C1N(C2=CC=CC=C2C1=O)CC3=CC4=CC=CC=C4S3
ICV417,C(=N/NC(N)=S)(\C)/C1=CC=CS1
ICV390,O=C(O)C1=C(I)N=C(C(O)=C1C23OC4(O)CC(O)(O2)CC(O)(O3)C4)C
ICV65,[C@H](CC1=CC=CC=C1)([C@H](C[C@H](CC2=CC=CC=C2)NC(COC3=C(C)C=CC=C3C)=O)O)NC([C@@H](NC(=O)C4=CC=C(C(F)(F)F)C=C4)CC(C)C)=O
ICV757,O=C1[C@H](C[C@H](NC([C@H]2N(C(COC3=CC=C(Cl)C=C3)=O)C[C@@]4([H])[C@]2([H])C4(C)C)=O)C([H])=O)CCN1
ICV227,O=C(N(C1=CC=C(C(C=N2)=CN=C2OC)C=C1)CC3=CSC=C3)CN4C5=CC=CC=C5N=N4
ICV186,O=C(NC(=CC=1OC(=CC1)C=2C=CC=CC2N(=O)=O)C(=O)NCCCN(C)C)C3=CC=C(C=C3)C
ICV370,O=C1C(O)=C(OC2=CC(O)=C(C(O)=C12)CC=C(C)C)C=3C=C(O)C(O)=C(C3)CC=C(C)C
ICV15,C(=O)(N1[C@H](CN[C@@H](CC2=CN=CN2)C=O)C[C@@]3([C@@](C1)(CCCC3)[H])[H])C4=CC=C(F)C=C4
ICV745,O[C@H]1[C@@](O[C@H](COC(C(C)C)=O)[C@H]1O)(N2C(=O)NC(=NO)C=C2)[H]
ICV69,[C@@H](CC1CCCCC1)(NC([C@@H](NC(OCC2=CC=CC=C2)=O)[C@H](OC(C)(C)C)C)=O)C(N[C@@H](C[C@H]3C(=O)NCC3)C=O)=O
ICV341,O=C(NCC=1C=CC=C(F)C1)C2CCN(CC2)C(C3=CC=CC4=NC=CC=C43)C
ICV669,O=N(=O)C1=CC(=CC(=C1S(=O)(=O)C2=CC(=C(Cl)C=C2Cl)C)N(=O)=O)C(F)(F)F
